timestamp,room_id,count
2025-09-18T12:40:10.397286+00:00,Lobby,16
2025-09-18T12:40:10.397286+00:00,ConfA,1
2025-09-18T12:40:10.397286+00:00,ConfB,2
2025-09-18T12:40:10.397286+00:00,OpenOffice,18
2025-09-18T12:40:10.397286+00:00,Cafe,6
2025-09-18T12:45:10.397286+00:00,Lobby,21
2025-09-18T12:45:10.397286+00:00,ConfA,2
2025-09-18T12:45:10.397286+00:00,ConfB,4
2025-09-18T12:45:10.397286+00:00,OpenOffice,28
2025-09-18T12:45:10.397286+00:00,Cafe,9
2025-09-18T12:50:10.397286+00:00,Lobby,23
2025-09-18T12:50:10.397286+00:00,ConfA,4
2025-09-18T12:50:10.397286+00:00,ConfB,5
2025-09-18T12:50:10.397286+00:00,OpenOffice,30
2025-09-18T12:50:10.397286+00:00,Cafe,10
2025-09-18T12:55:10.397286+00:00,Lobby,26
2025-09-18T12:55:10.397286+00:00,ConfA,5
2025-09-18T12:55:10.397286+00:00,ConfB,4
2025-09-18T12:55:10.397286+00:00,OpenOffice,34
2025-09-18T12:55:10.397286+00:00,Cafe,14
2025-09-18T13:00:10.397286+00:00,Lobby,26
2025-09-18T13:00:10.397286+00:00,ConfA,5
2025-09-18T13:00:10.397286+00:00,ConfB,4
2025-09-18T13:00:10.397286+00:00,OpenOffice,34
2025-09-18T13:00:10.397286+00:00,Cafe,14
2025-09-18T13:05:10.397286+00:00,Lobby,27
2025-09-18T13:05:10.397286+00:00,ConfA,5
2025-09-18T13:05:10.397286+00:00,ConfB,2
2025-09-18T13:05:10.397286+00:00,OpenOffice,34
2025-09-18T13:05:10.397286+00:00,Cafe,14
2025-09-18T13:10:10.397286+00:00,Lobby,28
2025-09-18T13:10:10.397286+00:00,ConfA,6
2025-09-18T13:10:10.397286+00:00,ConfB,2
2025-09-18T13:10:10.397286+00:00,OpenOffice,32
2025-09-18T13:10:10.397286+00:00,Cafe,15
2025-09-18T13:15:10.397286+00:00,Lobby,26
2025-09-18T13:15:10.397286+00:00,ConfA,5
2025-09-18T13:15:10.397286+00:00,ConfB,3
2025-09-18T13:15:10.397286+00:00,OpenOffice,30
2025-09-18T13:15:10.397286+00:00,Cafe,16
2025-09-18T13:20:10.397286+00:00,Lobby,24
2025-09-18T13:20:10.397286+00:00,ConfA,4
2025-09-18T13:20:10.397286+00:00,ConfB,3
2025-09-18T13:20:10.397286+00:00,OpenOffice,30
2025-09-18T13:20:10.397286+00:00,Cafe,13
2025-09-18T13:25:10.397286+00:00,Lobby,24
2025-09-18T13:25:10.397286+00:00,ConfA,4
2025-09-18T13:25:10.397286+00:00,ConfB,4
2025-09-18T13:25:10.397286+00:00,OpenOffice,33
2025-09-18T13:25:10.397286+00:00,Cafe,14
2025-09-18T13:30:10.397286+00:00,Lobby,20
2025-09-18T13:30:10.397286+00:00,ConfA,3
2025-09-18T13:30:10.397286+00:00,ConfB,4
2025-09-18T13:30:10.397286+00:00,OpenOffice,32
2025-09-18T13:30:10.397286+00:00,Cafe,14
2025-09-18T13:35:10.397286+00:00,Lobby,22
2025-09-18T13:35:10.397286+00:00,ConfA,3
2025-09-18T13:35:10.397286+00:00,ConfB,3
2025-09-18T13:35:10.397286+00:00,OpenOffice,32
2025-09-18T13:35:10.397286+00:00,Cafe,16
2025-09-18T13:40:10.397286+00:00,Lobby,24
2025-09-18T13:40:10.397286+00:00,ConfA,4
2025-09-18T13:40:10.397286+00:00,ConfB,2
2025-09-18T13:40:10.397286+00:00,OpenOffice,32
2025-09-18T13:40:10.397286+00:00,Cafe,14
2025-09-18T13:45:10.397286+00:00,Lobby,21
2025-09-18T13:45:10.397286+00:00,ConfA,4
2025-09-18T13:45:10.397286+00:00,ConfB,2
2025-09-18T13:45:10.397286+00:00,OpenOffice,31
2025-09-18T13:45:10.397286+00:00,Cafe,12
2025-09-18T13:50:10.397286+00:00,Lobby,23
2025-09-18T13:50:10.397286+00:00,ConfA,4
2025-09-18T13:50:10.397286+00:00,ConfB,2
2025-09-18T13:50:10.397286+00:00,OpenOffice,34
2025-09-18T13:50:10.397286+00:00,Cafe,12
2025-09-18T13:55:10.397286+00:00,Lobby,26
2025-09-18T13:55:10.397286+00:00,ConfA,4
2025-09-18T13:55:10.397286+00:00,ConfB,3
2025-09-18T13:55:10.397286+00:00,OpenOffice,38
2025-09-18T13:55:10.397286+00:00,Cafe,13
2025-09-18T14:00:10.397286+00:00,Lobby,29
2025-09-18T14:00:10.397286+00:00,ConfA,4
2025-09-18T14:00:10.397286+00:00,ConfB,2
2025-09-18T14:00:10.397286+00:00,OpenOffice,30
2025-09-18T14:00:10.397286+00:00,Cafe,11
2025-09-18T14:05:10.397286+00:00,Lobby,29
2025-09-18T14:05:10.397286+00:00,ConfA,4
2025-09-18T14:05:10.397286+00:00,ConfB,2
2025-09-18T14:05:10.397286+00:00,OpenOffice,32
