timestamp,floor_id,room_id,count
2025-09-18T14:07:06.421497+00:00,F1,Lobby,19
2025-09-18T14:07:06.421497+00:00,F1,Reception,2
2025-09-18T14:07:06.421497+00:00,F1,ConfA,0
2025-09-18T14:07:06.421497+00:00,F1,ConfB,2
2025-09-18T14:07:06.421497+00:00,F1,OpenOffice1,19
2025-09-18T14:07:06.421497+00:00,F1,Cafe,6
2025-09-18T14:07:06.421497+00:00,F1,Pantry,1
2025-09-18T14:07:06.421497+00:00,F1,IT-Store,1
2025-09-18T14:07:06.421497+00:00,F1,Restrooms-F1,0
2025-09-18T14:07:06.421497+00:00,F2,OpenOffice2,18
2025-09-18T14:07:06.421497+00:00,F2,ConfC,2
2025-09-18T14:07:06.421497+00:00,F2,ConfD,2
2025-09-18T14:07:06.421497+00:00,F2,ConfE,2
2025-09-18T14:07:06.421497+00:00,F2,Training,8
2025-09-18T14:07:06.421497+00:00,F2,Lab1,4
2025-09-18T14:07:06.421497+00:00,F2,Lab2,1
2025-09-18T14:07:06.421497+00:00,F2,Server,0
2025-09-18T14:07:06.421497+00:00,F2,Restrooms-F2,0
2025-09-18T14:07:06.421497+00:00,F3,Boardroom,4
2025-09-18T14:07:06.421497+00:00,F3,ExecOffice1,1
2025-09-18T14:07:06.421497+00:00,F3,ExecOffice2,0
2025-09-18T14:07:06.421497+00:00,F3,ExecOffice3,2
2025-09-18T14:07:06.421497+00:00,F3,ExecOffice4,0
2025-09-18T14:07:06.421497+00:00,F3,ConfF,0
2025-09-18T14:07:06.421497+00:00,F3,ConfG,2
2025-09-18T14:07:06.421497+00:00,F3,ConfH,2
2025-09-18T14:07:06.421497+00:00,F3,OpenOffice3,15
2025-09-18T14:07:06.421497+00:00,F3,Gym,4
2025-09-18T14:07:06.421497+00:00,F3,Restrooms-F3,0
2025-09-18T14:12:06.421497+00:00,F1,Lobby,21
2025-09-18T14:12:06.421497+00:00,F1,Reception,4
2025-09-18T14:12:06.421497+00:00,F1,ConfA,3
2025-09-18T14:12:06.421497+00:00,F1,ConfB,2
2025-09-18T14:12:06.421497+00:00,F1,OpenOffice1,27
2025-09-18T14:12:06.421497+00:00,F1,Cafe,10
2025-09-18T14:12:06.421497+00:00,F1,Pantry,2
2025-09-18T14:12:06.421497+00:00,F1,IT-Store,1
2025-09-18T14:12:06.421497+00:00,F1,Restrooms-F1,0
2025-09-18T14:12:06.421497+00:00,F2,OpenOffice2,28
2025-09-18T14:12:06.421497+00:00,F2,ConfC,2
2025-09-18T14:12:06.421497+00:00,F2,ConfD,3
2025-09-18T14:12:06.421497+00:00,F2,ConfE,2
2025-09-18T14:12:06.421497+00:00,F2,Training,12
2025-09-18T14:12:06.421497+00:00,F2,Lab1,4
2025-09-18T14:12:06.421497+00:00,F2,Lab2,4
2025-09-18T14:12:06.421497+00:00,F2,Server,1
2025-09-18T14:12:06.421497+00:00,F2,Restrooms-F2,0
2025-09-18T14:12:06.421497+00:00,F3,Boardroom,6
2025-09-18T14:12:06.421497+00:00,F3,ExecOffice1,1
2025-09-18T14:12:06.421497+00:00,F3,ExecOffice2,1
2025-09-18T14:12:06.421497+00:00,F3,ExecOffice3,2
2025-09-18T14:12:06.421497+00:00,F3,ExecOffice4,0
2025-09-18T14:12:06.421497+00:00,F3,ConfF,2
2025-09-18T14:12:06.421497+00:00,F3,ConfG,2
2025-09-18T14:12:06.421497+00:00,F3,ConfH,3
2025-09-18T14:12:06.421497+00:00,F3,OpenOffice3,23
2025-09-18T14:12:06.421497+00:00,F3,Gym,6
2025-09-18T14:12:06.421497+00:00,F3,Restrooms-F3,0
2025-09-18T14:17:06.421497+00:00,F1,Lobby,27
2025-09-18T14:17:06.421497+00:00,F1,Reception,3
2025-09-18T14:17:06.421497+00:00,F1,ConfA,3
2025-09-18T14:17:06.421497+00:00,F1,ConfB,2
2025-09-18T14:17:06.421497+00:00,F1,OpenOffice1,32
2025-09-18T14:17:06.421497+00:00,F1,Cafe,14
2025-09-18T14:17:06.421497+00:00,F1,Pantry,2
2025-09-18T14:17:06.421497+00:00,F1,IT-Store,2
2025-09-18T14:17:06.421497+00:00,F1,Restrooms-F1,0
2025-09-18T14:17:06.421497+00:00,F2,OpenOffice2,33
2025-09-18T14:17:06.421497+00:00,F2,ConfC,2
2025-09-18T14:17:06.421497+00:00,F2,ConfD,2
2025-09-18T14:17:06.421497+00:00,F2,ConfE,2
2025-09-18T14:17:06.421497+00:00,F2,Training,14
2025-09-18T14:17:06.421497+00:00,F2,Lab1,6
2025-09-18T14:17:06.421497+00:00,F2,Lab2,6
2025-09-18T14:17:06.421497+00:00,F2,Server,0
2025-09-18T14:17:06.421497+00:00,F2,Restrooms-F2,0
2025-09-18T14:17:06.421497+00:00,F3,Boardroom,8
2025-09-18T14:17:06.421497+00:00,F3,ExecOffice1,1
2025-09-18T14:17:06.421497+00:00,F3,ExecOffice2,1
2025-09-18T14:17:06.421497+00:00,F3,ExecOffice3,2
2025-09-18T14:17:06.421497+00:00,F3,ExecOffice4,0
2025-09-18T14:17:06.421497+00:00,F3,ConfF,2
