timestamp,floor_id,room_id,co2,lux,noise,motion,door,rh
2025-09-18T14:07:06.421497+00:00,F1,Lobby,1156.769676737609,612.9780666365756,48.4268453745867,1,0,44.145547799075246
2025-09-18T14:07:06.421497+00:00,F1,Reception,534.8170784819713,620.2776650845934,38.88288420103777,1,0,52.779849268348265
2025-09-18T14:07:06.421497+00:00,F1,ConfA,400.0,778.8360471208305,36.95816670721105,0,0,44.89883236576805
2025-09-18T14:07:06.421497+00:00,F1,ConfB,528.2557900672584,660.075042721855,37.237297751185594,1,0,57.906552693516126
2025-09-18T14:07:06.421497+00:00,F1,OpenOffice1,1094.6464897057217,797.8334760626838,48.04051073097022,1,0,48.485567821606104
2025-09-18T14:07:06.421497+00:00,F1,Cafe,720.3352257177238,736.0526372168719,43.2059555724522,1,1,51.53723988537167
2025-09-18T14:07:06.421497+00:00,F1,Pantry,494.45351455239734,542.6165739751881,38.85457959358727,1,0,54.3659654418399
2025-09-18T14:07:06.421497+00:00,F1,IT-Store,523.5076109339859,666.5943231077523,35.920677043263105,1,0,59.52951627442616
2025-09-18T14:07:06.421497+00:00,F1,Restrooms-F1,424.7454494661817,596.0100495660272,37.36435676556453,0,0,46.967704077210996
2025-09-18T14:07:06.421497+00:00,F2,OpenOffice2,1111.2754359823002,588.1858226707994,47.13644308090359,1,0,39.87278525078218
2025-09-18T14:07:06.421497+00:00,F2,ConfC,569.559796395867,768.026833573208,39.03877432277923,1,0,54.20522844763687
2025-09-18T14:07:06.421497+00:00,F2,ConfD,528.9876644198241,597.6225570979057,39.778245086815375,1,0,41.755262208418
2025-09-18T14:07:06.421497+00:00,F2,ConfE,422.5546162181914,580.6898412023282,36.71322544925937,1,0,41.71776875279845
2025-09-18T14:07:06.421497+00:00,F2,Training,699.9377437426975,566.0085547208289,42.688452111172346,1,0,49.869235705648805
2025-09-18T14:07:06.421497+00:00,F2,Lab1,613.6416597132021,688.4678847168648,38.73201422220548,1,0,55.17801986600034
2025-09-18T14:07:06.421497+00:00,F2,Lab2,432.5891057865059,864.6880750233646,39.314090554602025,1,0,59.45512724903148
2025-09-18T14:07:06.421497+00:00,F2,Server,468.92492158160974,680.7668068731385,37.24032544787778,0,0,48.85597378696402
2025-09-18T14:07:06.421497+00:00,F2,Restrooms-F2,465.3882997468697,781.488309796579,34.616896752765555,0,0,53.92076764277627
2025-09-18T14:07:06.421497+00:00,F3,Boardroom,602.5786577289772,546.0674087323671,39.68883463525455,1,1,52.902729785525054
2025-09-18T14:07:06.421497+00:00,F3,ExecOffice1,498.3876221696813,626.4986318889803,40.055107998651955,1,0,52.30439735759626
